id,value
대한민국,
대한민국.강원도,
대한민국.경상남도.의령군.여자(내),12460
대한민국.경상남도.의령군.남자(외),578
대한민국.경상남도.의령군.여자(외),366
대한민국.경상남도.양산시,
대한민국.경상남도.양산시.남자(내),171980
대한민국.경상남도.양산시.여자(내),172425
대한민국.경상남도.양산시.남자(외),5033
대한민국.경상남도.양산시.여자(외),3172
대한민국.경상남도.성산구,
대한민국.경상남도.성산구.남자(내),125859
대한민국.경상남도.성산구.여자(내),119232
대한민국.경상남도.성산구.남자(외),3073
대한민국.경상남도.성산구.여자(외),1745
대한민국.경상남도.산청군,
대한민국.경상남도.산청군.남자(내),15713
대한민국.경상남도.산청군.여자(내),16545
대한민국.경상남도.산청군.남자(외),322
대한민국.경상남도.산청군.여자(외),434
대한민국.경상남도.사천시,
대한민국.경상남도.사천시.남자(내),53263
대한민국.경상남도.사천시.여자(내),52328
대한민국.경상남도.사천시.남자(외),3030
대한민국.경상남도.사천시.여자(외),1025
대한민국.경상남도.밀양시,
대한민국.경상남도.밀양시.남자(내),48360
대한민국.경상남도.밀양시.여자(내),49851
대한민국.경상남도.밀양시.남자(외),1474
대한민국.경상남도.밀양시.여자(외),2152
대한민국.경상남도.마산회원구,
대한민국.경상남도.마산회원구.남자(내),91660
대한민국.경상남도.마산회원구.여자(내),92191
대한민국.경상남도.마산회원구.남자(외),1379
대한민국.경상남도.마산회원구.여자(외),1234
대한민국.경상남도.마산합포구,
대한민국.경상남도.마산합포구.남자(내),88032
대한민국.경상남도.마산합포구.여자(내),89313
대한민국.경상남도.마산합포구.남자(외),1549
대한민국.경상남도.마산합포구.여자(외),1155
대한민국.경상남도.남해군,
대한민국.경상남도.남해군.남자(내),19314
대한민국.경상남도.남해군.여자(내),20538
대한민국.경상남도.남해군.남자(외),830
대한민국.경상남도.남해군.여자(외),188
대한민국.경상남도.김해시,
대한민국.경상남도.김해시.남자(내),264078
대한민국.경상남도.김해시.여자(내),259681
대한민국.경상남도.김해시.남자(외),16418
대한민국.경상남도.김해시.여자(외),7818
대한민국.경상남도.고성군,
대한민국.경상남도.고성군.남자(내),23590
대한민국.경상남도.고성군.여자(내),23722
대한민국.경상남도.고성군.남자(외),1028
대한민국.경상남도.고성군.여자(외),463
대한민국.경상남도.거창군,
대한민국.경상남도.거창군.남자(내),28990
대한민국.경상남도.거창군.여자(내),29527
대한민국.경상남도.거창군.남자(외),341
대한민국.경상남도.거창군.여자(외),380
대한민국.경상남도.거제시,
대한민국.경상남도.거제시.남자(내),123500
대한민국.경상남도.거제시.여자(내),110811
대한민국.경상남도.거제시.남자(외),5437
대한민국.경상남도.거제시.여자(외),2678
대한민국.경상북도,
대한민국.경상북도.포항시,
대한민국.경상북도.포항시.남자(내),249846
대한민국.경상북도.포항시.여자(내),243364
대한민국.경상북도.포항시.남자(외),4636
대한민국.경상북도.포항시.여자(외),3405
대한민국.경상북도.칠곡군,
대한민국.경상북도.칠곡군.남자(내),56770
대한민국.경상북도.칠곡군.여자(내),53232
대한민국.경상북도.칠곡군.남자(외),2935
대한민국.경상북도.칠곡군.여자(외),1627
대한민국.경상북도.청송군,
대한민국.경상북도.청송군.남자(내),11491
대한민국.경상북도.청송군.여자(내),11514
대한민국.경상북도.청송군.남자(외),86
대한민국.경상북도.청송군.여자(외),197
대한민국.경상북도.청도군,
대한민국.경상북도.청도군.남자(내),18779
대한민국.경상북도.청도군.여자(내),19925
대한민국.경상북도.청도군.남자(외),597
대한민국.경상북도.청도군.여자(외),770
대한민국.경상북도.의성군,
대한민국.경상북도.의성군.남자(내),22922
대한민국.경상북도.의성군.여자(내),24369
대한민국.경상북도.의성군.남자(외),377
대한민국.경상북도.의성군.여자(외),353
대한민국.경상북도.울진군,
대한민국.경상북도.울진군.남자(내),22482
대한민국.경상북도.울진군.여자(내),22058
대한민국.경상북도.울진군.남자(외),1559
대한민국.경상북도.울진군.여자(외),270
대한민국.경상북도.울릉군,
대한민국.경상북도.울릉군.남자(내),4333
대한민국.경상북도.울릉군.여자(내),3607
대한민국.경상북도.울릉군.남자(외),180
대한민국.경상북도.울릉군.여자(외),49
대한민국.경상북도.예천군,
대한민국.경상북도.예천군.남자(내),26211
대한민국.경상북도.예천군.여자(내),27335
대한민국.경상북도.예천군.남자(외),282
대한민국.경상북도.예천군.여자(외),439
대한민국.경상북도.영천시,
대한민국.경상북도.영천시.남자(내),48443
대한민국.경상북도.영천시.여자(내),47597
대한민국.경상북도.영천시.남자(외),2606
대한민국.경상북도.영천시.여자(외),1213
대한민국.경상북도.영주시,
대한민국.경상북도.영주시.남자(내),50309
대한민국.경상북도.영주시.여자(내),50893
대한민국.경상북도.영주시.남자(외),522
대한민국.경상북도.영주시.여자(외),690
대한민국.경상북도.영양군,
대한민국.경상북도.영양군.남자(내),7573
대한민국.경상북도.영양군.여자(내),7630
대한민국.경상북도.영양군.남자(외),109
대한민국.경상북도.영양군.여자(외),246
대한민국.경상북도.영덕군,
대한민국.경상북도.영덕군.남자(내),15469
대한민국.경상북도.영덕군.여자(내),17202
대한민국.경상북도.영덕군.남자(외),959
대한민국.경상북도.영덕군.여자(외),297
대한민국.경상북도.안동시,
대한민국.경상북도.안동시.남자(내),77240
대한민국.경상북도.안동시.여자(내),78961
대한민국.경상북도.안동시.남자(외),800
대한민국.경상북도.안동시.여자(외),1063
대한민국.경상북도.성주군,
대한민국.경상북도.성주군.남자(내),19729
대한민국.경상북도.성주군.여자(내),19101
대한민국.경상북도.성주군.남자(외),1465
대한민국.경상북도.성주군.여자(외),509
대한민국.경상북도.상주시,
